"Name","Scholarly Output","Citation Count"
"Informatyka WMI UAM",162,232
"Matematyka WMI UAM",260,185
"Pracownia Ekonometrii Finansowej",4,4
"Wydział Matematyki i Informatyki UAM",417,414
"Zakład Algebry i Teorii Liczb",27,13
"Zakład Algorytmiki i Metod Numerycznych",14,8
"Zakład Analizy Funkcjonalnej",59,53
"Zakład Analizy Matematycznej",21,9
"Zakład Arytmetycznej Geometrii Algebraicznej",7,4
"Zakład Dydaktyki Matematyki",0,0
"Zakład Geometrii Algebraicznej i Diofantycznej",6,0
"Zakład Geometrii i Topologii",14,7
"Zakład Lingwistyki Informatycznej i Sztucznej Inteligencji",8,1
"Zakład Logiki Matematycznej",4,2
"Zakład Matematyki Dyskretnej",63,68
"Zakład Metod Przetwarzania Informacji Nieprecyzyjnej",22,61
"Zakład Optymalizacji i Sterowania",29,14
"Zakład Przestrzeni Funkcyjnych i Równań Różniczkowych",39,46
"Zakład Przetwarzania Języka Naturalnego",12,16
"Zakład Rachunku Prawdopodobieństwa i Statystyki Matematycznej",35,60
"Zakład Teorii Algorytmów i Bezpieczeństwa Danych",11,23
"Zakład Teorii Funkcji Rzeczywistych",21,34
"Zakład Teorii Interpolacji i Aproksymacji",30,5
"Zakład Teorii Obliczeń",2,0
